symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission,strategy,entry_type,e_entry,e_context,e_fit,e_total,e_adx,e_atr_exp,e_vol_ratio,e_ema_dist_atr,e_rsi,realized_r,mae,mfe,hour_utc,e_state
CL,LONG,97.62,95.66760000000001,33.292358123352436,-68.21750649999991,-0.6821750649999991,LOSS,Trend,86.89005834576417,95.66760000000001,98.59620000000001,99.5724,,2026-04-24T11:00:00+00:00,1,3.2175065000000007,MACD_Trend,trend_follow,74.00566361693099,63.87294680369594,86.89005834576417,74.83116699161043,21.857383454105413,1.0,0.7049650913491229,1.6891882824352695,63.593806867888425,-1.0,-1.290719114935469,0.0,11,Trend
CL,LONG,95.31,96.38,31.101703877970905,30.033312065767348,0.3003331206576735,WIN,Breakout,72.952574448601,95.31,96.26310000000001,97.2162,,2026-04-26T22:30:00+00:00,1,3.2455110836924153,MACD_Trend,trend_follow,68.62833165024182,37.86319751184749,84.33618969957442,64.1111488235233,20.19515103457514,1.0,0.44455732953507693,1.2688227342153626,59.7429735404328,0.561,-0.34099255062428163,0.5823103556814602,22,Trend
CL,LONG,96.16,96.16,37381045586810.63,32.37821939054706,0.3237821939054706,WIN,Breakout,74.95769962943322,96.16,97.1216,98.08319999999999,,2026-04-27T15:45:00+00:00,1,5.002826196263576,MACD_Trend,trend_follow,77.82309055919468,70.19200307316048,74.37219298234535,74.49849504032962,20.060451755767854,1.0,1.1582733601021793,1.609246964191709,63.52326107963486,0.0,-0.7331530782029932,0.4679700499168083,15,Trend
CL,LONG,105.5,105.5,37521224507761.26,32.49963771326169,0.3249963771326169,WIN,Range,74.50218658278213,105.5,106.555,107.61,,2026-05-04T19:00:00+00:00,1,5.021586794499566,MACD_Trend,trend_follow,81.9387839115635,81.1996522321986,74.50218658278213,79.48606520911963,20.83712317355502,1.0,1.6462809993689194,1.3296520587231213,64.11303233219317,0.0,-0.22748815165876968,0.3127962085308041,19,Trend
CL,LONG,104.75,102.655,47.938811900949055,-105.40319561677717,-1.0540319561677718,LOSS,Trend,46.191416077355996,102.655,105.7975,106.845,,2026-05-05T13:15:00+00:00,1,4.97138468433689,MACD_Trend,trend_follow,75.91109380473176,47.28233282552805,62.581543104601835,63.32360030093167,20.512569367293235,1.0,1.2876872498276086,1.174591293848321,58.85063025553704,-1.0,-0.9832935560859198,0.0,13,Trend
CL,LONG,99.67,97.67660000000001,32.42092421744646,-67.82695637939595,-0.6782695637939595,LOSS,Trend,76.56748190038145,97.67660000000001,100.6667,101.6634,,2026-05-13T03:00:00+00:00,1,3.1990860443707887,MACD_Trend,trend_follow,65.9522212692307,71.34431590339521,71.82281465671416,69.3310276757251,21.357247280168938,1.0,0.524223575837952,1.1124079589905387,59.77974118623447,-1.0,-0.8728805056687041,0.0,3,Trend
CL,LONG,103.4,103.4,37042955294912.34,32.08537681557213,0.32085376815572136,WIN,Breakout,76.31770516325972,103.4,104.43400000000001,105.468,,2026-05-19T13:45:00+00:00,1,4.957578479340211,MACD_Trend,trend_follow,78.82521459187528,73.38859257735666,74.24402860937607,75.81987219276994,21.058546466695795,1.0,1.4797134842013082,1.4223926771396795,63.355698057899936,0.0,-0.3336557059961373,0.4061895551257201,13,Trend
CL,SHORT,90.98,90.06,35.124568328553394,29.10832851284166,0.2910832851284166,WIN,Trend,14.04927224671534,90.98,90.0702,89.16040000000001,,2026-05-25T17:00:00+00:00,1,3.2062743493924,MACD_Trend,trend_follow,68.62429193930166,50.33400840808331,85.8808066418037,68.31416129068677,20.73597605544949,1.0,0.8703334362557432,1.0843870097181134,41.44078747052543,0.506,-0.40668278742580505,0.6045284677951245,17,Trend
CL,SHORT,89.68,89.41,98.81603666503389,23.46073673108463,0.23460736731084628,WIN,Range,18.50367525639767,89.68,88.78320000000001,87.88640000000001,,2026-05-27T19:30:00+00:00,1,3.2195931683767167,MACD_Trend,trend_follow,53.76670614639442,56.637016108568524,81.49632474360233,62.94668471420903,20.01312789840066,1.0,0.23345022277953362,0.6005057866147685,43.39974554413779,0.151,-0.011150758251558887,0.5854148082069643,19,Trend
CL,LONG,77.45,77.5064628640349,678.5348653026643,33.30579001346506,0.33305790013465053,WIN,Range,62.77366182439083,77.5064628640349,78.2245,78.99900000000001,,2026-06-20T14:45:00+00:00,1,5.006231829736005,MACD_Trend,trend_follow,81.3392902689439,63.198667391338205,60.35551650855871,69.60197127754664,21.99841127488127,1.0,1.7026957189825906,1.4167062765767682,64.84251883320306,0.036,-0.36797934151065675,0.5681084570690739,14,Trend
CL,LONG,71.67,71.67,37546767457036.57,32.52176216704661,0.3252176216704661,WIN,Range,61.44490565939788,71.67,72.3867,73.10340000000001,,2026-06-28T17:45:00+00:00,1,5.025005289989962,MACD_Trend,trend_follow,83.2663222719698,61.658348444310555,60.894690291036284,70.07244052939197,20.050031458850572,1.0,2.4227404774209744,0.9388778101105804,59.653846626166114,0.0,-0.04883493790986981,0.46742011999442007,17,Trend
