open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767225600000,87608.30,87658.00,87600.00,87650.10,236.886,1767225779999,20753600.44800,2774,86.776,7603138.57120,0
1767225780000,87650.10,87791.90,87650.00,87724.50,226.070,1767225959999,19832126.89890,5280,174.380,15296519.64230,0
1767225960000,87724.50,87744.60,87673.20,87729.60,100.976,1767226139999,8856112.94550,3262,67.415,5912724.85600,0
1767226140000,87729.50,87748.10,87723.50,87730.10,135.936,1767226319999,11925948.58960,2657,88.816,7791849.87430,0
1767226320000,87730.00,87731.40,87705.00,87705.00,52.747,1767226499999,4626865.42760,1427,29.645,2600361.01120,0
1767226500000,87705.00,87731.40,87705.00,87715.20,65.867,1767226679999,5778091.08380,1457,36.578,3208680.27350,0
1767226680000,87715.30,87744.70,87715.20,87733.90,34.573,1767226859999,3033007.80380,1225,26.395,2315520.00730,0
1767226860000,87733.90,87747.30,87733.90,87740.90,57.657,1767227039999,5058738.52580,1232,33.884,2972897.60490,0
1767227040000,87741.00,87747.90,87734.10,87734.10,30.150,1767227219999,2645347.04010,1045,17.475,1533251.66290,0
1767227220000,87734.20,87754.00,87734.10,87746.40,48.653,1767227399999,4269013.39320,1407,26.499,2325125.08970,0
1767227400000,87746.30,87747.00,87720.00,87744.60,76.487,1767227579999,6710430.90680,1833,30.181,2647873.32350,0
1767227580000,87744.60,87744.70,87716.20,87716.30,46.187,1767227759999,4051792.77970,1685,26.308,2307882.77480,0
1767227760000,87716.30,87721.80,87701.70,87721.80,51.573,1767227939999,4523458.46820,1570,32.965,2891339.02980,0
1767227940000,87721.70,87723.30,87706.20,87723.30,31.369,1767228119999,2751627.75250,1172,19.568,1716471.64530,0
1767228120000,87723.30,87729.30,87714.30,87715.00,37.601,1767228299999,3298417.59970,931,24.151,2118521.30750,0
1767228300000,87715.00,87721.90,87714.90,87721.90,23.037,1767228479999,2020814.08360,655,17.003,1491514.42270,0
1767228480000,87721.80,87784.50,87721.80,87762.80,128.682,1767228659999,11293817.66660,2504,65.386,5737997.00670,0
1767228660000,87762.80,87800.00,87762.80,87783.60,63.269,1767228839999,5554173.84450,1798,39.880,3500831.96960,0
1767228840000,87783.70,87806.00,87767.30,87806.00,73.107,1767229019999,6417722.91390,1646,51.851,4551824.08150,0
1767229020000,87806.00,87819.00,87770.00,87773.40,50.213,1767229199999,4408456.25390,1636,18.937,1662725.32240,0
