open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775001600000,4693.91,4719.50,4691.24,4708.25,34302.610,1775005199999,161417827.55967,46333,17712.546,83349795.08438,0
1775005200000,4708.26,4720.00,4679.00,4689.30,24321.541,1775008799999,114224339.88953,52667,11886.906,55817666.64245,0
1775008800000,4689.33,4696.55,4676.21,4681.81,13161.563,1775012399999,61659347.43305,29920,6706.395,31417752.71257,0
1775012400000,4681.80,4690.95,4677.86,4679.57,6053.130,1775015999999,28356255.24282,17628,2981.087,13965338.73608,0
1775016000000,4679.57,4679.89,4665.43,4674.32,11383.352,1775019599999,53179450.12116,20952,5146.383,24040771.42296,0
1775019600000,4674.32,4701.99,4672.81,4682.71,18930.824,1775023199999,88804690.85918,29477,9936.381,46603124.52792,0
1775023200000,4682.70,4728.99,4681.18,4727.24,26971.495,1775026799999,126972158.24369,43271,13644.832,64232557.08578,0
1775026800000,4727.24,4742.86,4707.27,4709.76,29966.726,1775030399999,141553230.63389,49676,15189.503,71755819.10784,0
1775030400000,4709.76,4735.93,4707.27,4724.67,18088.493,1775033999999,85431218.17152,40560,8462.678,39966046.91277,0
1775034000000,4724.67,4726.56,4710.87,4720.41,10898.244,1775037599999,51415762.38636,26048,5835.866,27531980.70593,0
1775037600000,4720.62,4734.50,4712.36,4728.76,10173.163,1775041199999,48062048.83990,23226,4469.819,21115475.67941,0
1775041200000,4728.76,4759.02,4725.91,4748.03,22327.569,1775044799999,105974603.85233,37989,11810.254,56052041.96089,0
1775044800000,4747.95,4749.80,4721.35,4721.85,33996.845,1775048399999,160977735.93317,65654,17243.295,81639933.52264,0
1775048400000,4721.85,4744.84,4712.50,4735.66,22564.100,1775051999999,106767533.84142,55135,10647.299,50374442.20146,0
1775052000000,4735.65,4764.67,4721.28,4757.14,27583.283,1775055599999,130874269.00792,57337,13917.533,66032739.22526,0
1775055600000,4757.14,4785.00,4755.36,4783.63,27419.925,1775059199999,130825194.02075,45660,13094.468,62483295.33534,0
1775059200000,4783.64,4788.00,4770.07,4783.69,13687.304,1775062799999,65407810.51352,28254,7707.566,36835124.62436,0
