open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777593600000,4629.11,4633.39,4623.56,4626.61,2289.750,1777595399999,10596849.95148,7630,1199.015,5549112.98377,0
1777595400000,4626.61,4627.62,4621.42,4622.88,1610.654,1777597199999,7448008.52328,5242,721.251,3335436.13164,0
1777597200000,4622.87,4623.00,4616.75,4618.30,1676.011,1777598999999,7742692.98635,5119,689.028,3183017.97378,0
1777599000000,4618.29,4624.42,4618.29,4622.95,1034.898,1777600799999,4783166.45880,4283,651.059,3009199.07723,0
1777600800000,4622.94,4637.88,4622.19,4631.50,3472.332,1777602599999,16084205.70765,6658,1732.655,8024155.48179,0
1777602600000,4631.49,4633.00,4619.58,4621.60,2239.127,1777604399999,10357875.45535,5637,916.134,4237306.83173,0
1777604400000,4621.59,4629.37,4620.60,4629.32,1866.721,1777606199999,8632188.94836,4532,1153.903,5336028.79959,0
1777606200000,4629.24,4634.21,4627.93,4629.12,2501.440,1777607999999,11585696.15375,5051,879.609,4073953.38851,0
1777608000000,4629.13,4630.88,4620.33,4620.33,1425.363,1777609799999,6593206.98115,4798,627.312,2902176.16273,0
1777609800000,4620.33,4620.68,4612.60,4612.62,2774.340,1777611599999,12807908.57668,6146,1410.129,6510034.74457,0
1777611600000,4612.63,4619.39,4610.97,4617.95,2854.423,1777613399999,13172695.90003,5246,1846.181,8520235.87640,0
1777613400000,4617.95,4618.44,4606.12,4608.01,2826.113,1777615199999,13032070.32678,6606,1319.869,6086626.07775,0
1777615200000,4608.06,4610.72,4596.24,4597.08,5141.676,1777616999999,23665477.27082,10449,2335.581,10750011.75093,0
1777617000000,4597.08,4600.36,4593.47,4598.24,4253.620,1777618799999,19552464.46777,11206,2192.897,10080369.21448,0
1777618800000,4598.24,4601.19,4588.99,4595.70,4976.322,1777620599999,22867146.35071,14198,2414.118,11094310.42162,0
1777620600000,4595.70,4595.70,4580.65,4582.69,5710.622,1777622399999,26193369.86815,14875,2783.492,12766600.16871,0
1777622400000,4582.68,4586.86,4571.54,4572.06,7899.263,1777624199999,36170958.23382,18282,4157.374,19037738.04599,0
1777624200000,4572.06,4577.57,4570.26,4573.20,6009.130,1777625999999,27486369.84056,14662,3633.364,16619163.34679,0
1777626000000,4573.21,4575.55,4569.36,4574.00,4465.526,1777627799999,20418211.72476,12798,2578.782,11791564.24268,0
1777627800000,4574.00,4577.37,4565.04,4567.85,5935.232,1777629599999,27137325.43485,14018,3142.290,14368576.80543,0
1777629600000,4567.84,4577.94,4566.72,4577.67,3220.056,1777631399999,14724002.87752,10035,2072.793,9477810.76807,0
1777631400000,4577.68,4581.68,4571.38,4571.71,4497.223,1777633199999,20581826.76793,11907,2480.198,11352144.18723,0
1777633200000,4571.71,4581.31,4568.30,4576.81,4676.100,1777634999999,21392183.93175,13321,2683.205,12275553.19671,0
1777635000000,4576.81,4583.70,4575.59,4583.26,4160.488,1777636799999,19056101.03849,13480,2382.094,10910427.33815,0
1777636800000,4583.26,4611.34,4580.00,4606.78,16343.527,1777638599999,75106440.85889,32769,8009.155,36797230.02033,0
1777638600000,4606.79,4607.16,4591.65,4593.75,14552.060,1777640399999,66921447.59775,25949,5107.476,23484023.25183,0
1777640400000,4593.75,4600.47,4589.12,4591.80,5976.782,1777642199999,27463543.80002,17912,2718.626,12492710.56267,0
1777642200000,4591.80,4631.66,4589.48,4629.80,23204.673,1777643999999,107045782.26170,43590,11938.565,55066993.94447,0
1777644000000,4629.79,4661.28,4628.67,4644.98,37959.655,1777645799999,176454424.26182,56042,17639.437,81985656.08704,0
1777645800000,4644.98,4646.43,4629.85,4634.35,17160.489,1777647599999,79578031.44696,32272,8455.463,39204308.17863,0
1777647600000,4634.47,4642.41,4621.56,4638.64,11559.523,1777649399999,53557105.49886,24870,6454.596,29902681.68888,0
1777649400000,4638.64,4649.25,4634.11,4644.11,10640.232,1777651199999,49395290.55037,21087,4829.891,22421031.93952,0
1777651200000,4644.11,4650.66,4638.00,4638.02,7735.326,1777652999999,35915881.05735,17701,3027.967,14058646.49451,0
1777653000000,4638.02,4643.24,4633.01,4639.87,5269.210,1777654799999,24435385.84635,12788,2467.560,11443173.09937,0
1777654800000,4639.87,4643.44,4632.04,4632.92,2116.288,1777656599999,9817351.51641,7216,981.973,4555492.39855,0
1777656600000,4632.70,4636.01,4626.65,4631.09,4343.929,1777658399999,20114016.78197,8668,2214.454,10254642.34429,0
1777658400000,4631.09,4631.96,4615.61,4625.93,5049.219,1777660199999,23340966.33034,10367,2528.462,11688338.57816,0
1777660200000,4625.76,4627.84,4618.50,4626.24,2842.918,1777661999999,13145280.32642,6662,1373.102,6348611.75986,0
1777662000000,4626.24,4629.51,4622.87,4626.60,1109.623,1777663799999,5134029.75193,4072,598.986,2771276.84690,0
1777663800000,4626.61,4626.61,4612.08,4614.00,3505.643,1777665599999,16182766.59803,7943,1964.511,9067968.09309,0
1777665600000,4613.99,4619.46,4610.50,4617.00,2231.506,1777667399999,10297367.55654,5483,1093.179,5044172.41978,0
1777667400000,4617.00,4619.17,4614.10,4616.01,1500.845,1777669199999,6928418.11686,4475,656.815,3031872.15242,0
1777669200000,4616.01,4616.52,4613.76,4616.41,438.146,1777670999999,2022099.08832,1407,221.921,1024209.40710,0
