symbol,side,entry_time,exit_time,setup_type,trigger,score,threshold,regime,bias,entry,initial_stop,tp1,tp2,exit_reason,net_r,planned_rr,room_r
SOL,SHORT,2026-02-04T14:59:59.999000,2026-02-04T15:39:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,74.0,68.0,STRONG_BEAR_TREND,SHORT,93.863045,95.02670102778914,92.46665776665303,91.4852577388639,TP2_HIT,1.4224257324377079,2.0433763967636684,99.0
SOL,SHORT,2026-02-05T17:54:59.999000,2026-02-05T20:19:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,83.0,68.0,EARLY_BEAR_TREND,SHORT,83.18838500000001,84.25726403431969,81.9057301588164,80.93801912449668,TP2_HIT,1.4605473587919275,2.1053513103432233,99.0
BTC,SHORT,2026-02-05T19:29:59.999000,2026-02-05T20:19:59.999000,FAST_PULLBACK,MICRO_BOS,86.0,68.0,STRONG_BEAR_TREND,SHORT,65919.4238,66591.02851275649,65113.498144692225,64547.417271935716,TP2_HIT,1.378442629288681,2.0428780531231423,99.0
BTC,SHORT,2026-02-05T23:39:59.999000,2026-02-05T23:59:59.999000,FAST_PULLBACK,MICRO_BOS,78.0,68.0,STRONG_BEAR_TREND,SHORT,63888.2399,64515.2759653589,63135.796621569316,62737.575965358905,TP2_HIT,1.2650450471274335,1.8350841334500934,2.065271569322804
BTC,SHORT,2026-02-07T08:44:59.999000,2026-02-07T12:09:59.999000,FAST_PULLBACK,TRIGGER_BREAK,89.0,68.0,STRONG_BEAR_TREND,SHORT,68270.54765000001,68827.53813629686,67602.15906644378,67154.4561001469,BE_HIT,0.01918921384710584,2.003789251901651,3.0306702782298642
SOL,SHORT,2026-02-11T06:39:59.999000,2026-02-11T13:34:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,86.0,68.0,STRONG_BEAR_TREND,SHORT,81.27933999999999,81.92989999999999,80.498668,79.97822000000001,BE_HIT,0.018599510779683602,1.9999999999999782,23.00377111001816
SOL,SHORT,2026-02-11T15:54:59.999000,2026-02-11T16:14:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,72.0,68.0,STRONG_BEAR_TREND,SHORT,79.46025,80.26972319922432,78.48888216093083,77.8066089617065,SL_HIT,-1.246956872509178,2.0428607641094465,15.862845256976206
SOL,LONG,2026-02-15T07:19:59.999000,2026-02-15T08:34:59.999000,FAST_PULLBACK,MICRO_BOS,85.0,68.0,STRONG_BULL_TREND,LONG,89.82489,89.11657500000001,90.67486799999998,91.271535,BE_HIT,0.01845988005176232,2.0423752144173637,99.0
SOL,LONG,2026-02-25T19:24:59.999000,2026-02-25T21:39:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,83.0,68.0,STRONG_BULL_TREND,LONG,88.94445,88.243175,89.78598000000001,90.377015,TP2_HIT,1.3019512238404927,2.042800613168838,99.0
SOL,SHORT,2026-03-06T13:34:59.999000,2026-03-06T14:04:59.999000,FAST_PULLBACK,SWEEP_RECLAIM,100.0,74.0,EARLY_BEAR_TREND,SHORT,86.37679,87.06815,85.547158,85.18307515770059,TP2_HIT,1.1530986370677283,1.7266183208450139,1.9439944457301597
BTC,LONG,2026-03-15T23:49:59.999000,2026-03-16T03:39:59.999000,FAST_PULLBACK,MICRO_BOS,77.0,68.0,STRONG_BULL_TREND,LONG,72706.23494999998,72124.87574999999,73403.86598999998,73868.95335,TP2_HIT,1.2850070812500247,2.00000000000005,2.282173683097598
SOL,SHORT,2026-03-18T13:49:59.999000,2026-03-18T14:59:59.999000,FAST_PULLBACK,TRIGGER_BREAK,80.0,68.0,EARLY_BEAR_TREND,SHORT,90.284835,91.007475,89.41766700000001,88.83955499999999,TP2_HIT,1.2899945812500104,2.0000000000000195,3.2916343776523123
BTC,SHORT,2026-04-18T09:59:59.999000,2026-04-19T06:19:59.999000,FAST_PULLBACK,MICRO_BOS,82.0,68.0,EARLY_BEAR_TREND,SHORT,76479.84095000001,77091.98575,75745.26719000001,75255.55135000001,TP2_HIT,1.2899945812500289,2.000000000000024,2.4781413373655115
SOL,LONG,2026-05-05T21:54:59.999000,2026-05-06T08:09:59.999000,FAST_PULLBACK,EMA_RECLAIM_CONFIRM,77.0,68.0,STRONG_BULL_TREND,LONG,86.55325500000001,85.861175,87.38375100000002,87.93741500000002,TP2_HIT,1.2850070812500047,2.0,2.4197587947443266
SOL,SHORT,2026-05-18T02:44:59.999000,2026-05-18T12:39:59.999000,FAST_PULLBACK,MICRO_BOS,88.0,68.0,STRONG_BEAR_TREND,SHORT,84.83756,85.526675,84.010622,83.489315,SL_HIT,-1.3093392769530354,1.9564876689667028,2.4816429104331195
